Tanggal,Nomor Hari,Hari,Bulan,Tahun,Nama Service,Harga
1/7/2022,7,Friday,January,2022,potong rambut + cuci,40000
1/7/2022,7,Friday,January,2022,potong rambut,35000
1/7/2022,7,Friday,January,2022,potong rambut,35000
1/7/2022,7,Friday,January,2022,potong rambut,35000
1/7/2022,7,Friday,January,2022,potong rambut,35000
1/7/2022,7,Friday,January,2022,potong rambut anak,30000
1/7/2022,7,Friday,January,2022,potong rambut anak,30000
1/7/2022,7,Friday,January,2022,hair treatment (obat sendiri),50000
1/7/2022,7,Friday,January,2022,hair treatment (obat sendiri),50000
1/7/2022,7,Friday,January,2022,cat rambut (obat bawa sendiri),80000
1/8/2022,8,Saturday,January,2022,potong rambut,35000
1/8/2022,8,Saturday,January,2022,alis,20000
1/8/2022,8,Saturday,January,2022,potong rambut,35000
1/8/2022,8,Saturday,January,2022,potong rambut,35000
1/8/2022,8,Saturday,January,2022,potong rambut,35000
1/8/2022,8,Saturday,January,2022,potong rambut,35000
1/8/2022,8,Saturday,January,2022,potong rambut + cuci,40000
1/8/2022,8,Saturday,January,2022,potong rambut + cuci,40000
1/8/2022,8,Saturday,January,2022,potong rambut + cuci,40000
1/8/2022,8,Saturday,January,2022,potong rambut + cuci,40000
1/8/2022,8,Saturday,January,2022,potong rambut + cuci,40000
1/8/2022,8,Saturday,January,2022,catok + cuci,35000
1/8/2022,8,Saturday,January,2022,catok variasi + cuci,40000
1/8/2022,8,Saturday,January,2022,cat rambut,250000
1/8/2022,8,Saturday,January,2022,potong rambut,35000
1/8/2022,8,Saturday,January,2022,catok variasi,35000
1/8/2022,8,Saturday,January,2022,cat rambut (obat bawa sendiri),130000
1/9/2022,9,Sunday,January,2022,potong rambut + cuci,40000
1/9/2022,9,Sunday,January,2022,potong rambut + cuci,40000
1/9/2022,9,Sunday,January,2022,potong rambut + cuci,40000
1/9/2022,9,Sunday,January,2022,potong rambut + cuci,40000
1/9/2022,9,Sunday,January,2022,potong rambut + cuci,40000
1/9/2022,9,Sunday,January,2022,potong rambut + cuci,40000
1/9/2022,9,Sunday,January,2022,potong rambut + cuci,40000
1/9/2022,9,Sunday,January,2022,potong rambut + cuci,40000
1/9/2022,9,Sunday,January,2022,potong rambut anak,30000
1/9/2022,9,Sunday,January,2022,potong rambut,35000
1/9/2022,9,Sunday,January,2022,potong rambut,35000
1/9/2022,9,Sunday,January,2022,catok + cuci,35000
1/9/2022,9,Sunday,January,2022,catok,30000
1/9/2022,9,Sunday,January,2022,creambath,55000
1/9/2022,9,Sunday,January,2022,cat rambut,450000
1/10/2022,10,Monday,January,2022,potong rambut + cuci,40000
1/10/2022,10,Monday,January,2022,totok,60000
1/10/2022,10,Monday,January,2022,alis,20000
1/11/2022,11,Tuesday,January,2022,potong rambut,35000
1/11/2022,11,Tuesday,January,2022,potong rambut,35000
1/11/2022,11,Tuesday,January,2022,potong rambut,35000
1/11/2022,11,Tuesday,January,2022,potong rambut,35000
1/11/2022,11,Tuesday,January,2022,potong rambut + cuci,40000
1/11/2022,11,Tuesday,January,2022,potong rambut + cuci,40000
1/12/2022,12,Wednesday,January,2022,potong rambut + cuci,40000
1/12/2022,12,Wednesday,January,2022,potong rambut + cuci,40000
1/12/2022,12,Wednesday,January,2022,potong rambut + cuci,40000
1/12/2022,12,Wednesday,January,2022,potong rambut + cuci,40000
1/12/2022,12,Wednesday,January,2022,potong rambut + cuci,40000
1/12/2022,12,Wednesday,January,2022,potong rambut,35000
1/12/2022,12,Wednesday,January,2022,potong rambut,35000
1/12/2022,12,Wednesday,January,2022,potong rambut,35000
1/12/2022,12,Wednesday,January,2022,potong rambut,35000
1/12/2022,12,Wednesday,January,2022,catok variasi,35000
1/12/2022,12,Wednesday,January,2022,totok,60000
1/12/2022,12,Wednesday,January,2022,totok,60000
1/13/2022,13,Thursday,January,2022,potong rambut,35000
1/13/2022,13,Thursday,January,2022,potong rambut + cuci,40000
1/13/2022,13,Thursday,January,2022,potong rambut + cuci,40000
1/13/2022,13,Thursday,January,2022,potong rambut + cuci,40000
1/13/2022,13,Thursday,January,2022,potong rambut,35000
1/13/2022,13,Thursday,January,2022,alis,20000
1/13/2022,13,Thursday,January,2022,cat rambut,125000
1/13/2022,13,Thursday,January,2022,perm (keriting),150000
1/14/2022,14,Friday,January,2022,potong rambut,35000
1/14/2022,14,Friday,January,2022,potong rambut,35000
1/14/2022,14,Friday,January,2022,potong rambut,35000
1/14/2022,14,Friday,January,2022,potong rambut,35000
1/14/2022,14,Friday,January,2022,potong rambut + cuci,40000
1/14/2022,14,Friday,January,2022,potong rambut + cuci,40000
1/14/2022,14,Friday,January,2022,potong rambut + cuci,40000
1/14/2022,14,Friday,January,2022,potong rambut + cuci,40000
1/14/2022,14,Friday,January,2022,potong rambut + cuci,40000
1/14/2022,14,Friday,January,2022,potong rambut + cuci,40000
1/14/2022,14,Friday,January,2022,creambath,55000
1/14/2022,14,Friday,January,2022,cat rambut,500000
1/14/2022,14,Friday,January,2022,potong rambut + cuci + catok,70000
1/15/2022,15,Saturday,January,2022,potong rambut + cuci,40000
1/15/2022,15,Saturday,January,2022,potong rambut + cuci,40000
1/15/2022,15,Saturday,January,2022,potong rambut + cuci,40000
1/15/2022,15,Saturday,January,2022,potong rambut + cuci,40000
1/15/2022,15,Saturday,January,2022,potong rambut,35000
1/15/2022,15,Saturday,January,2022,potong rambut,35000
1/15/2022,15,Saturday,January,2022,potong rambut,35000
1/15/2022,15,Saturday,January,2022,potong rambut,35000
1/15/2022,15,Saturday,January,2022,catok,30000
1/15/2022,15,Saturday,January,2022,catok,30000
1/15/2022,15,Saturday,January,2022,totok,60000
1/15/2022,15,Saturday,January,2022,hair spa,65000
1/15/2022,15,Saturday,January,2022,cat rambut,550000
1/16/2022,16,Sunday,January,2022,potong rambut + cuci,40000
1/16/2022,16,Sunday,January,2022,potong rambut + cuci,40000
1/16/2022,16,Sunday,January,2022,potong rambut + cuci,40000
1/16/2022,16,Sunday,January,2022,potong rambut anak,30000
1/16/2022,16,Sunday,January,2022,potong rambut,35000
1/16/2022,16,Sunday,January,2022,smothing,500000
1/16/2022,16,Sunday,January,2022,potong rambut anak cowo,25000
1/16/2022,16,Sunday,January,2022,catok + cuci,35000
1/16/2022,16,Sunday,January,2022,potong poni,15000
1/16/2022,16,Sunday,January,2022,catok,30000
1/16/2022,16,Sunday,January,2022,catok variasi,35000
1/16/2022,16,Sunday,January,2022,totok,50000
1/16/2022,16,Sunday,January,2022,hair spa,65000
1/16/2022,16,Sunday,January,2022,totok,50000
1/16/2022,16,Sunday,January,2022,hair spa,65000
1/16/2022,16,Sunday,January,2022,cat rambut,165000
1/16/2022,16,Sunday,January,2022,potong rambut,35000
1/17/2022,17,Monday,January,2022,potong rambut anak,30000
1/17/2022,17,Monday,January,2022,potong rambut,35000
1/17/2022,17,Monday,January,2022,potong rambut + cuci,40000
1/17/2022,17,Monday,January,2022,potong rambut + cuci,40000
1/17/2022,17,Monday,January,2022,potong rambut + cuci,40000
1/17/2022,17,Monday,January,2022,lulur,70000
1/17/2022,17,Monday,January,2022,hair spa,65000
1/17/2022,17,Monday,January,2022,catok + cuci,35000
1/18/2022,18,Tuesday,January,2022,potong rambut,35000
1/18/2022,18,Tuesday,January,2022,potong rambut,35000
1/18/2022,18,Tuesday,January,2022,potong rambut,35000
1/18/2022,18,Tuesday,January,2022,potong rambut + cuci,40000
1/18/2022,18,Tuesday,January,2022,potong rambut + cuci,40000
1/18/2022,18,Tuesday,January,2022,potong rambut + cuci,40000
1/18/2022,18,Tuesday,January,2022,potong rambut + cuci,40000
1/18/2022,18,Tuesday,January,2022,potong rambut + cuci,40000
1/18/2022,18,Tuesday,January,2022,potong rambut + cuci,40000
1/18/2022,18,Tuesday,January,2022,potong rambut + cuci,40000
1/18/2022,18,Tuesday,January,2022,potong rambut + cuci,40000
1/18/2022,18,Tuesday,January,2022,potong rambut + cuci,40000
1/18/2022,18,Tuesday,January,2022,potong rambut + cuci,40000
1/18/2022,18,Tuesday,January,2022,creambath,55000
1/18/2022,18,Tuesday,January,2022,cat rambut,350000
1/18/2022,18,Tuesday,January,2022,totok,50000
1/19/2022,19,Wednesday,January,2022,potong rambut + cuci,40000
1/19/2022,19,Wednesday,January,2022,catok + cuci,35000
1/19/2022,19,Wednesday,January,2022,blow + cuci,30000
1/19/2022,19,Wednesday,January,2022,catok,30000
1/19/2022,19,Wednesday,January,2022,potong rambut + cuci,40000
1/20/2022,20,Thursday,January,2022,potong rambut + cuci,40000
1/20/2022,20,Thursday,January,2022,potong rambut + cuci,40000
1/20/2022,20,Thursday,January,2022,catok + cuci,35000
1/20/2022,20,Thursday,January,2022,potong rambut,35000
1/20/2022,20,Thursday,January,2022,potong rambut anak cowo,25000
1/20/2022,20,Thursday,January,2022,cat rambut,600000
1/20/2022,20,Thursday,January,2022,cat rambut,150000
1/21/2022,21,Friday,January,2022,potong rambut,35000
1/21/2022,21,Friday,January,2022,alis,20000
1/21/2022,21,Friday,January,2022,potong rambut + cuci,40000
1/21/2022,21,Friday,January,2022,alis,20000
1/21/2022,21,Friday,January,2022,potong rambut + cuci,40000
1/21/2022,21,Friday,January,2022,potong rambut + cuci,40000
1/21/2022,21,Friday,January,2022,potong rambut + cuci,40000
1/21/2022,21,Friday,January,2022,potong rambut + cuci,40000
1/21/2022,21,Friday,January,2022,potong rambut + cuci,40000
1/21/2022,21,Friday,January,2022,potong rambut + cuci,40000
1/21/2022,21,Friday,January,2022,potong rambut,35000
1/21/2022,21,Friday,January,2022,potong rambut,35000
1/21/2022,21,Friday,January,2022,potong rambut,35000
1/21/2022,21,Friday,January,2022,potong rambut anak,30000
1/21/2022,21,Friday,January,2022,smothing,400000
1/22/2022,22,Saturday,January,2022,potong rambut + cuci,40000
1/22/2022,22,Saturday,January,2022,potong rambut + cuci,40000
1/22/2022,22,Saturday,January,2022,potong rambut + cuci,40000
1/22/2022,22,Saturday,January,2022,potong rambut + cuci,40000
1/22/2022,22,Saturday,January,2022,potong rambut + cuci + tonic,45000
1/22/2022,22,Saturday,January,2022,potong rambut,35000
1/22/2022,22,Saturday,January,2022,potong rambut,35000
1/22/2022,22,Saturday,January,2022,totok + facial,100000
1/22/2022,22,Saturday,January,2022,masker,65000
1/22/2022,22,Saturday,January,2022,masker,65000
1/22/2022,22,Saturday,January,2022,hair treatment (obat sendiri),50000
1/22/2022,22,Saturday,January,2022,catok + cuci,35000
1/22/2022,22,Saturday,January,2022,catok + cuci,35000
1/22/2022,22,Saturday,January,2022,catok,30000
1/22/2022,22,Saturday,January,2022,catok,30000
1/22/2022,22,Saturday,January,2022,potong rambut + cuci + catok,70000
1/23/2022,23,Sunday,January,2022,potong rambut + cuci,40000
1/23/2022,23,Sunday,January,2022,potong rambut + cuci,40000
1/23/2022,23,Sunday,January,2022,potong rambut + cuci,40000
1/23/2022,23,Sunday,January,2022,potong rambut + cuci,40000
1/23/2022,23,Sunday,January,2022,potong rambut + cuci,40000
1/23/2022,23,Sunday,January,2022,potong rambut + cuci,40000
1/23/2022,23,Sunday,January,2022,potong rambut + cuci,40000
1/23/2022,23,Sunday,January,2022,potong rambut + cuci,40000
1/23/2022,23,Sunday,January,2022,potong rambut + cuci,40000
1/23/2022,23,Sunday,January,2022,potong rambut + cuci,40000
1/23/2022,23,Sunday,January,2022,potong rambut + cuci,40000
1/23/2022,23,Sunday,January,2022,potong rambut,35000
1/23/2022,23,Sunday,January,2022,potong rambut,35000
1/23/2022,23,Sunday,January,2022,potong rambut,35000
1/23/2022,23,Sunday,January,2022,potong rambut,35000
1/23/2022,23,Sunday,January,2022,potong rambut,35000
1/23/2022,23,Sunday,January,2022,potong rambut anak,30000
1/23/2022,23,Sunday,January,2022,potong rambut anak,30000
1/23/2022,23,Sunday,January,2022,cat rambut,170000
1/23/2022,23,Sunday,January,2022,cat rambut,100000
1/23/2022,23,Sunday,January,2022,cat rambut,300000
1/23/2022,23,Sunday,January,2022,lulur,70000
1/24/2022,24,Monday,January,2022,potong rambut + cuci,40000
1/24/2022,24,Monday,January,2022,potong rambut + cuci,40000
1/24/2022,24,Monday,January,2022,potong rambut,35000
1/24/2022,24,Monday,January,2022,potong rambut,35000
1/24/2022,24,Monday,January,2022,potong rambut anak,30000
1/24/2022,24,Monday,January,2022,catok + cuci,35000
1/25/2022,25,Tuesday,January,2022,potong rambut + cuci,40000
1/25/2022,25,Tuesday,January,2022,potong rambut + cuci,40000
1/25/2022,25,Tuesday,January,2022,potong rambut + cuci,40000
1/25/2022,25,Tuesday,January,2022,potong rambut + cuci,40000
1/25/2022,25,Tuesday,January,2022,potong rambut + cuci,40000
1/25/2022,25,Tuesday,January,2022,potong rambut + cuci,40000
1/25/2022,25,Tuesday,January,2022,potong rambut,35000
1/25/2022,25,Tuesday,January,2022,cat rambut,100000
1/25/2022,25,Tuesday,January,2022,smothing,500000
1/26/2022,26,Wednesday,January,2022,potong rambut + cuci,40000
1/26/2022,26,Wednesday,January,2022,potong rambut + cuci,40000
1/26/2022,26,Wednesday,January,2022,potong rambut,35000
1/26/2022,26,Wednesday,January,2022,hair spa,65000
1/26/2022,26,Wednesday,January,2022,hair spa,65000
1/26/2022,26,Wednesday,January,2022,smothing,400000
1/26/2022,26,Wednesday,January,2022,cat rambut,300000
1/26/2022,26,Wednesday,January,2022,cat rambut,500000
1/27/2022,27,Thursday,January,2022,potong rambut + cuci,40000
1/27/2022,27,Thursday,January,2022,potong rambut + cuci,40000
1/27/2022,27,Thursday,January,2022,potong rambut + cuci,40000
1/27/2022,27,Thursday,January,2022,potong rambut + cuci,40000
1/27/2022,27,Thursday,January,2022,potong rambut + cuci + catok,70000
1/27/2022,27,Thursday,January,2022,potong rambut + cuci + catok,70000
1/27/2022,27,Thursday,January,2022,potong rambut + cuci + catok,70000
1/27/2022,27,Thursday,January,2022,potong rambut,35000
1/27/2022,27,Thursday,January,2022,potong rambut,35000
1/27/2022,27,Thursday,January,2022,totok,60000
1/27/2022,27,Thursday,January,2022,hair spa,65000
1/27/2022,27,Thursday,January,2022,creambath,55000
1/27/2022,27,Thursday,January,2022,cat rambut,250000
1/27/2022,27,Thursday,January,2022,cat rambut,100000
1/28/2022,28,Friday,January,2022,potong rambut + cuci,40000
1/28/2022,28,Friday,January,2022,potong rambut + cuci,40000
1/28/2022,28,Friday,January,2022,potong rambut + cuci,40000
1/28/2022,28,Friday,January,2022,potong rambut + cuci,40000
1/28/2022,28,Friday,January,2022,potong rambut + cuci,40000
1/28/2022,28,Friday,January,2022,potong rambut + cuci,40000
1/28/2022,28,Friday,January,2022,potong rambut + cuci,40000
1/28/2022,28,Friday,January,2022,potong rambut + cuci,40000
1/28/2022,28,Friday,January,2022,potong rambut,35000
1/28/2022,28,Friday,January,2022,potong rambut,35000
1/28/2022,28,Friday,January,2022,potong rambut anak,30000
1/28/2022,28,Friday,January,2022,hair treatment (obat sendiri),50000
1/28/2022,28,Friday,January,2022,catok,30000
1/28/2022,28,Friday,January,2022,potong rambut + cuci,40000
1/28/2022,28,Friday,January,2022,catok variasi + cuci,40000
1/29/2022,29,Saturday,January,2022,potong rambut + cuci,40000
1/29/2022,29,Saturday,January,2022,potong rambut + cuci,40000
1/29/2022,29,Saturday,January,2022,potong rambut + cuci,40000
1/29/2022,29,Saturday,January,2022,potong rambut + cuci,40000
1/29/2022,29,Saturday,January,2022,potong rambut + cuci,40000
1/29/2022,29,Saturday,January,2022,potong rambut + cuci,40000
1/29/2022,29,Saturday,January,2022,potong rambut + cuci,40000
1/29/2022,29,Saturday,January,2022,potong rambut,35000
1/29/2022,29,Saturday,January,2022,potong rambut,35000
1/29/2022,29,Saturday,January,2022,catok + cuci,35000
1/29/2022,29,Saturday,January,2022,potong rambut + cuci + tonic,50000
1/29/2022,29,Saturday,January,2022,potong rambut + cuci + tonic,50000
1/29/2022,29,Saturday,January,2022,cat rambut,140000
1/29/2022,29,Saturday,January,2022,cat rambut,900000
1/29/2022,29,Saturday,January,2022,cat rambut,300000
1/29/2022,29,Saturday,January,2022,cat rambut,200000
1/30/2022,30,Sunday,January,2022,potong rambut + cuci + tonic,50000
1/30/2022,30,Sunday,January,2022,potong rambut + cuci,40000
1/30/2022,30,Sunday,January,2022,potong rambut + cuci,40000
1/30/2022,30,Sunday,January,2022,potong rambut + cuci,40000
1/30/2022,30,Sunday,January,2022,potong rambut + cuci,40000
1/30/2022,30,Sunday,January,2022,potong rambut + cuci,40000
1/30/2022,30,Sunday,January,2022,potong rambut + cuci,40000
1/30/2022,30,Sunday,January,2022,potong rambut + cuci,40000
1/30/2022,30,Sunday,January,2022,potong rambut,35000
1/30/2022,30,Sunday,January,2022,potong rambut,35000
1/30/2022,30,Sunday,January,2022,potong rambut,35000
1/30/2022,30,Sunday,January,2022,creambath,55000
1/30/2022,30,Sunday,January,2022,potong rambut,30000
1/30/2022,30,Sunday,January,2022,cat rambut,215000
1/30/2022,30,Sunday,January,2022,creambath,50000
1/30/2022,30,Sunday,January,2022,potong rambut,30000
1/30/2022,30,Sunday,January,2022,potong rambut + cuci + catok,70000
1/30/2022,30,Sunday,January,2022,catok variasi + cuci,40000
1/30/2022,30,Sunday,January,2022,cat rambut,250000
1/30/2022,30,Sunday,January,2022,smothing,450000
1/31/2022,31,Monday,January,2022,creambath + catok,85000
1/31/2022,31,Monday,January,2022,lulur,65000
1/31/2022,31,Monday,January,2022,potong rambut + cuci,40000
1/31/2022,31,Monday,January,2022,potong rambut + cuci,40000
1/31/2022,31,Monday,January,2022,potong rambut + cuci,40000
1/31/2022,31,Monday,January,2022,potong rambut + cuci,40000
1/31/2022,31,Monday,January,2022,potong rambut + cuci,40000
1/31/2022,31,Monday,January,2022,potong rambut + cuci,40000
1/31/2022,31,Monday,January,2022,potong rambut + cuci + tonic,50000
1/31/2022,31,Monday,January,2022,potong rambut,35000
1/31/2022,31,Monday,January,2022,potong rambut,35000
1/31/2022,31,Monday,January,2022,potong rambut,35000
1/31/2022,31,Monday,January,2022,creambath,55000
1/31/2022,31,Monday,January,2022,hair spa,65000
1/31/2022,31,Monday,January,2022,facial,50000
1/31/2022,31,Monday,January,2022,smothing,400000
1/31/2022,31,Monday,January,2022,smothing,350000
2/1/2022,1,Tuesday,February,2022,potong rambut + cuci,40000
2/1/2022,1,Tuesday,February,2022,potong rambut + cuci,40000
2/1/2022,1,Tuesday,February,2022,potong rambut + cuci,40000
2/1/2022,1,Tuesday,February,2022,potong rambut + cuci,40000
2/1/2022,1,Tuesday,February,2022,potong rambut + cuci,40000
2/1/2022,1,Tuesday,February,2022,potong rambut + cuci,40000
2/1/2022,1,Tuesday,February,2022,potong rambut + cuci,40000
2/1/2022,1,Tuesday,February,2022,cat rambut,100000
2/1/2022,1,Tuesday,February,2022,catok + cuci,35000
2/1/2022,1,Tuesday,February,2022,catok + cuci,35000
2/1/2022,1,Tuesday,February,2022,catok,30000
2/1/2022,1,Tuesday,February,2022,hair spa + catok catok,90000
2/1/2022,1,Tuesday,February,2022,potong rambut + cuci + catok,70000
2/1/2022,1,Tuesday,February,2022,creambath,55000
2/2/2022,2,Wednesday,February,2022,potong rambut + cuci,40000
2/2/2022,2,Wednesday,February,2022,potong rambut + cuci,40000
2/2/2022,2,Wednesday,February,2022,potong rambut + cuci,40000
2/2/2022,2,Wednesday,February,2022,potong rambut + cuci,40000
2/2/2022,2,Wednesday,February,2022,potong rambut + cuci,40000
2/2/2022,2,Wednesday,February,2022,potong rambut,35000
2/2/2022,2,Wednesday,February,2022,potong rambut,35000
2/2/2022,2,Wednesday,February,2022,blow + cuci + tonic,40000
2/2/2022,2,Wednesday,February,2022,catok,30000
2/2/2022,2,Wednesday,February,2022,cat rambut,500000
2/3/2022,3,Thursday,February,2022,potong rambut + cuci,40000
2/3/2022,3,Thursday,February,2022,potong rambut + cuci,40000
2/3/2022,3,Thursday,February,2022,potong rambut + cuci,40000
2/3/2022,3,Thursday,February,2022,potong rambut + cuci,40000
2/3/2022,3,Thursday,February,2022,potong rambut,35000
2/3/2022,3,Thursday,February,2022,potong rambut,35000
2/3/2022,3,Thursday,February,2022,potong rambut,35000
2/3/2022,3,Thursday,February,2022,potong poni,20000
2/4/2022,4,Friday,February,2022,potong rambut + cuci,40000
2/4/2022,4,Friday,February,2022,potong rambut + cuci,40000
2/4/2022,4,Friday,February,2022,potong rambut + cuci,40000
2/4/2022,4,Friday,February,2022,potong rambut + cuci,40000
2/4/2022,4,Friday,February,2022,potong rambut + cuci,40000
2/4/2022,4,Friday,February,2022,potong rambut + cuci,40000
2/4/2022,4,Friday,February,2022,potong rambut,35000
2/4/2022,4,Friday,February,2022,potong rambut,35000
2/4/2022,4,Friday,February,2022,creambath,55000
2/4/2022,4,Friday,February,2022,facial,50000
2/4/2022,4,Friday,February,2022,cat rambut,500000
2/5/2022,5,Saturday,February,2022,potong rambut + cuci,40000
2/5/2022,5,Saturday,February,2022,potong rambut + cuci,40000
2/5/2022,5,Saturday,February,2022,potong rambut + cuci,40000
2/5/2022,5,Saturday,February,2022,potong rambut,35000
2/5/2022,5,Saturday,February,2022,hair treatment (obat sendiri),50000
2/5/2022,5,Saturday,February,2022,hair treatment (obat sendiri),50000
2/5/2022,5,Saturday,February,2022,totok,50000
2/6/2022,6,Sunday,February,2022,catok,30000
2/6/2022,6,Sunday,February,2022,catok + cuci,35000
2/6/2022,6,Sunday,February,2022,catok + cuci,35000
2/6/2022,6,Sunday,February,2022,catok + cuci,35000
2/6/2022,6,Sunday,February,2022,catok variasi + cuci,40000
2/6/2022,6,Sunday,February,2022,catok variasi + cuci,40000
2/6/2022,6,Sunday,February,2022,smothing,400000
2/6/2022,6,Sunday,February,2022,potong rambut + cuci,40000
2/6/2022,6,Sunday,February,2022,potong rambut,35000
2/6/2022,6,Sunday,February,2022,creambath,55000
2/6/2022,6,Sunday,February,2022,creambath,55000
2/6/2022,6,Sunday,February,2022,creambath,55000
2/7/2022,7,Monday,February,2022,potong rambut,35000
2/7/2022,7,Monday,February,2022,potong rambut,35000
2/7/2022,7,Monday,February,2022,potong rambut + cuci,40000
2/7/2022,7,Monday,February,2022,potong rambut + cuci,40000
2/7/2022,7,Monday,February,2022,creambath,55000
2/7/2022,7,Monday,February,2022,hair spa,65000
2/8/2022,8,Tuesday,February,2022,potong rambut + cuci,40000
2/8/2022,8,Tuesday,February,2022,potong rambut + cuci,40000
2/8/2022,8,Tuesday,February,2022,potong rambut + cuci,40000
2/8/2022,8,Tuesday,February,2022,potong rambut + cuci,40000
2/8/2022,8,Tuesday,February,2022,potong poni,20000
2/8/2022,8,Tuesday,February,2022,hair spa,65000
2/8/2022,8,Tuesday,February,2022,creambath,55000
2/8/2022,8,Tuesday,February,2022,potong rambut anak cowo,25000
2/8/2022,8,Tuesday,February,2022,cat rambut,500000
2/9/2022,9,Wednesday,February,2022,potong rambut + cuci,40000
2/9/2022,9,Wednesday,February,2022,potong rambut,35000
2/9/2022,9,Wednesday,February,2022,catok,30000
2/9/2022,9,Wednesday,February,2022,hair spa,65000
2/9/2022,9,Wednesday,February,2022,totok,50000
2/9/2022,9,Wednesday,February,2022,potong rambut + cuci + catok,70000
2/9/2022,9,Wednesday,February,2022,cat rambut,300000
2/9/2022,9,Wednesday,February,2022,cat rambut (obat bawa sendiri),50000
2/10/2022,10,Thursday,February,2022,potong rambut + cuci,40000
2/10/2022,10,Thursday,February,2022,potong rambut + cuci,40000
2/10/2022,10,Thursday,February,2022,potong rambut + cuci,40000
